330166659,20150101,201501,2015,2015.0027,,,,,,,,,,,BUS,AIRLINE,,,,,,BUS,,,0,190,190,19,4,-10.0,2,2,2,1.1990046756165602,0,,,,,,,1,Malaysia,MY,MY,2.5,112.5,MY,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,"http://www.ctnow.com/news/nationworld/chi-airasia-wreck-20141231,0,6654894.story"
330167064,20150101,201501,2015,2015.0027,,,,,,,,,,,COP,POLICE CHIEF,,,,,,COP,,,0,36,36,3,1,4.0,10,1,10,2.6690391459074703,0,,,,,,,4,"Yogyakarta, Yogyakarta, Indonesia",ID,ID10,-7.782780000000001,110.361,-2703546,4,"Yogyakarta, Yogyakarta, Indonesia",ID,ID10,-7.782780000000001,110.361,-2703546,20150101,http://www.thejakartapost.com/news/2015/01/02/yogya-second-intolerance-religious-based-violence.html
330167256,20150101,201501,2015,2015.0027,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,841,84,8,2,7.0,10,1,10,3.3333333333333304,0,,,,,,,4,"Karimata Strait, Indonesia (general), Indonesia",ID,ID00,-2.08333,108.667,-2681575,4,"Karimata Strait, Indonesia (general), Indonesia",ID,ID00,-2.08333,108.667,-2681575,20150101,http://www.thejakartapost.com/news/2015/01/01/airasia-emergency-door-recovered.html
330167363,20150101,201501,2015,2015.0027,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,173,173,17,4,-5.0,10,1,10,0.4,0,,,,,,,1,Indonesia,ID,ID,-5.0,120.0,ID,1,Indonesia,ID,ID,-5.0,120.0,ID,20150101,http://www.theborneopost.com/2015/01/02/police-nab-suspected-motorcycle-thief-2/
330167457,20150101,201501,2015,2015.0027,,,,,,,,,,,COPHLH,POLICE,,,,,,COP,HLH,,1,841,84,8,2,7.0,6,1,6,1.81268882175227,0,,,,,,,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,http://www.theguardian.com/world/2015/jan/01/airasia-crash-first-body-returned-family
330168377,20150101,201501,2015,2015.0027,,,,,,,,,,,EUR,EUROPE,EUR,,,,,,,,1,190,190,19,4,-10.0,10,1,10,1.64835164835165,0,,,,,,,1,Indonesia,ID,ID,-5.0,120.0,ID,1,Indonesia,ID,ID,-5.0,120.0,ID,20150101,http://www.dw.de/new-years-fireworks-accidents-kill-at-least-five-in-europe/a-18166947
330168669,20150101,201501,2015,2015.0027,,,,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,0,14,14,1,1,0.0,1,1,1,2.64830508474576,0,,,,,,,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20150101,http://www.bdtonline.com/news/weather-hinders-effort-to-recover-airasia-bodies/article_fd5d95f0-9138-11e4-8263-cb1668985e03.html
330168670,20150101,201501,2015,2015.0027,,,,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,0,14,14,1,1,0.0,193,58,193,2.4661418381293796,0,,,,,,,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,http://www.newsmax.com/GlobalTalk/indonesia-airasia-plane-search/2014/12/31/id/615903/
330168675,20150101,201501,2015,2015.0027,,,,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,0,14,14,1,1,0.0,1,1,1,2.56410256410256,0,,,,,,,1,Canada,CA,CA,60.0,-95.0,CA,4,"Jakarta, Jakarta Raya, Indonesia",ID,ID04,-6.17444,106.829,-2679652,20150101,http://globalnews.ca/news/1749739/bad-weather-hindering-recovery-efforts-from-airasia-crash/
330168695,20150101,201501,2015,2015.0027,,,,,,,,,,,GOV,AUTHORITIES,,,,,,GOV,,,0,20,20,2,1,3.0,195,58,195,2.46757837132215,0,,,,,,,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,4,"Surabaya, Jawa Timur, Indonesia",ID,ID08,-7.2491699999999994,112.751,-2698521,20150101,http://www.newsmax.com/GlobalTalk/indonesia-airasia-plane-search/2014/12/31/id/615903/
